DIRECTORIO,P424,P4030S1,P4030S1A1,P4030S5,P4030S3,P4030S4,P4030S4A1,P4030S6,P4030S2,MES_REF,DIA_REF,CLASE,REGION,F_EXP_VIV
3,2,1,4,1,1,1,3,1,1,9,5,1,2,239.88322007
7,1,1,2,1,1,1,3,1,1,9,6,2,2,274.64168243
11,2,1,2,1,1,1,2,1,1,9,4,2,2,478.6639992
14,1,1,1,1,1,2,,2,1,9,6,1,1,124.68058324
17,1,1,2,1,1,1,3,1,1,9,6,1,1,184.09837041
20,1,1,3,1,1,1,8,1,1,9,5,1,3,546.84539313
23,2,1,2,1,1,1,2,2,1,9,4,2,2,251.51865939
26,1,1,1,2,2,2,,2,2,9,1,2,1,131.32580644
27,1,1,1,1,1,1,3,2,1,9,4,1,1,738.5840336
31,1,1,1,2,2,2,,2,2,9,3,2,1,161.27395362
38,1,1,3,1,1,1,8,2,2,9,3,1,3,137.50492489
46,1,1,2,1,1,1,3,2,1,9,6,1,1,67.31564061
54,2,1,1,1,1,1,3,1,1,9,1,1,3,110.6329426
59,1,1,1,1,2,1,3,1,1,9,2,1,6,12.847922315
60,1,1,2,1,1,1,3,1,1,9,7,1,1,273.44389973
65,1,1,2,1,1,1,3,1,1,9,4,1,1,60.976798613
68,1,1,1,2,2,1,3,1,1,9,2,1,6,11.263640623
70,2,1,2,1,1,1,2,2,1,9,7,2,2,239.07507363
73,1,1,1,1,1,1,3,1,1,9,3,1,4,590.8033739
76,2,1,2,1,1,1,3,2,1,9,4,2,2,241.17014951
77,2,1,5,1,1,1,3,1,1,9,3,1,6,7.011167245
78,2,1,3,1,1,1,3,1,1,9,6,1,5,280.72305227
80,1,1,2,1,1,1,3,1,1,9,1,1,3,120.71746063
84,2,1,2,1,1,1,2,1,2,9,4,2,2,374.88925863
87,2,1,2,1,1,1,2,2,2,9,6,2,2,146.6798762
88,1,1,3,1,1,1,8,2,1,9,1,1,3,123.08181851
92,2,1,1,1,1,1,3,1,1,9,1,2,2,250.93770745
94,1,1,2,1,1,1,3,1,1,9,5,2,2,189.95577644
96,1,1,6,1,1,1,3,1,1,9,5,1,1,86.870175983
100,1,1,1,2,2,1,3,1,2,9,1,1,4,65.930841277
101,1,1,1,2,2,1,3,2,2,9,3,1,4,50.314439003
103,1,1,1,1,1,1,3,2,1,9,5,1,3,133.00804456
104,2,1,1,1,1,1,3,1,1,9,1,1,3,184.28157212
106,1,1,1,1,1,1,3,1,1,9,7,1,3,126.23281143
107,2,1,1,1,1,1,3,1,1,9,7,1,1,335.57266037
114,2,1,1,1,1,1,3,2,1,9,5,1,1,275.66535094
115,2,1,5,1,1,1,7,1,1,9,1,1,6,8.744722015
118,2,1,2,1,1,1,2,1,1,9,5,2,2,327.54252879
125,2,1,4,2,1,1,3,1,1,9,1,1,6,11.728121885
131,2,1,2,1,1,1,3,1,1,9,6,1,5,288.81787922
135,1,1,2,1,1,1,3,1,1,9,3,1,2,219.10056189
136,1,1,6,1,1,1,3,1,1,9,5,1,1,100.33012522
140,2,1,1,1,1,1,3,2,2,9,6,2,2,360.35954327
143,2,1,3,1,1,1,3,1,1,9,6,1,3,504.37373083
